Unidade Pai;CodigoOriginal;DescricaoOriginal;SituacaoOriginal;UnOriginal;TipologiaOriginal;Item Fundo;SituacaoFundo;ClonesLista;PrensadoRevisado
Art. I - SC;8030224;MATRIX VERDE 7X25;FP;pc;MONOPOROSA;8006828;FP;[];Nao
Art. I - SC;8035415;MINERAL BLUE 7X25;LB;pc;MONOPOROSA;8039383;FP;[];Nao
Art. I - SC;8030222;MYKONOS BLUE 7x25;LB;pc;MONOPOROSA;8039383;FP;[];Nao
Art. I - SC;8035535;PORTLAND 7X25;FP;pc;MONOPOROSA;8039383;FP;[];Nao
Art. I - SC;8035408;PROSECCO 7X25;FP;pc;MONOPOROSA;8039383;FP;[];Nao
Art. I - SC;8035417;ROSE GOLD 7X25;FP;pc;MONOPOROSA;8039383;FP;[];Nao
Art. I - SC;8030211;SCUBA BLUE 7X25;FP;pc;MONOPOROSA;8039383;FP;[];Nao
Art. I - SC;8035412;SMOKY BLUE 7X25;LB;pc;MONOPOROSA;8039383;FP;[];Nao
Art. I - SC;8030215;STRAWBERRY ICE 7X25;FP;pc;MONOPOROSA;8039383;FP;[];Nao
Art. I - SC;8030216;TANGERINE 7X25;LB;pc;MONOPOROSA;8039383;FP;[];Nao
Art. I - SC;8030220;TITANIUM 7X25;LB;pc;MONOPOROSA;8050501;LB;[];Nao
Art. I - SC;8030214;TOASTED ALMOND 7X25;FP;pc;MONOPOROSA;8039383;FP;[];Nao
Art. I - SC;8035413;ULTRAMARINE GREEN 7X25;LB;pc;MONOPOROSA;8039383;FP;[];Nao
Art. I - SC;8030219;WOODBINE 7X25;FP;pc;MONOPOROSA;8039383;FP;[];Nao
Art. I - SC;8033879;WOODBINE DUAL 7X25;FP;pc;MONOPOROSA;8039383;FP;[];Nao
Art. I - SC;8030905;ILLUSIONE L-1 BEIGE;FP;pc;MONOPOROSA;316466;FP;[];Nao
Art. I - SC;8043925;FUNDO COLOR MIND LIGHT AC 7X25;FP;m2;MONOPOROSA;8037665;LB;[];Nao
Art. I - SC;8043926;FUNDO COLOR MIND LIGHT BR 7X25;FP;m2;MONOPOROSA;8037666;LB;[];Nao
Art. I - SC;8040647;FUNDO ARABESCO AZUL BR 46X91;FP;pc;MONOPOROSA;8024454;FP;[];Nao
Art. I - SC;8040648;FUNDO ARABESCO FENDI BR 46X91;FP;pc;MONOPOROSA;8024454;FP;[];Nao
Art. I - SC;8037755;FUNDO DOT DARK AC 46X91;FP;pc;MONOPOROSA;8024454;FP;[];Nao
Art. I - SC;8037761;FUNDO DOT GOLD AC 46X91;FP;pc;MONOPOROSA;8024454;FP;[];Nao
Art. I - SC;8037758;FUNDO DOT INOX AC 46X91;FP;pc;MONOPOROSA;8024454;FP;[];Nao
Art. I - SC;8037764;FUNDO DOT ROSE GOLD AC 46X91;FP;pc;MONOPOROSA;8024454;FP;[];Nao
Art. I - SC;8037757;FUNDO LINE DARK AC 46X91;FP;pc;MONOPOROSA;8024454;FP;[];Nao
Art. I - SC;8037763;FUNDO LINE GOLD AC 46X91;FP;pc;MONOPOROSA;8024454;FP;[];Nao
Art. I - SC;8037760;FUNDO LINE INOX AC 46X91;FP;pc;MONOPOROSA;8024454;FP;[];Nao
Art. I - SC;8037766;FUNDO LINE ROSE GOLD AC 46X91;FP;pc;MONOPOROSA;8024454;FP;[];Nao
Art. I - SC;8040695;FUNDO MAIORCA BR 46X91;FP;pc;MONOPOROSA;8024454;FP;[];Nao
Art. I - SC;8037756;FUNDO SIX DARK AC 46X91;FP;pc;MONOPOROSA;8024454;FP;[];Nao
Art. I - SC;8037762;FUNDO SIX GOLD AC 46X91;FP;pc;MONOPOROSA;8024454;FP;[];Nao
Art. I - SC;8037759;FUNDO SIX INOX AC 46X91;FP;pc;MONOPOROSA;8024454;FP;[];Nao
Art. I - SC;8037765;FUNDO SIX ROSE GOLD AC 46X91;FP;pc;MONOPOROSA;8024454;FP;[];Nao
Art. I - SC;8043912;FUNDO COLOR MIND ACQUA BR 7x5;FP;m2;MONOPOROSA;8037677;FP;[];Nao
Art. I - SC;8043913;FUNDO COLOR MIND ARMY BR 7x5;FP;m2;MONOPOROSA;8037675;FP;[];Nao
Art. I - SC;8043914;FUNDO COLOR MIND BLACK AC 7x5;FP;m2;MONOPOROSA;8040104;LB;[];Nao
Art. I - SC;8043915;FUNDO COLOR MIND BLACK BR 7x5;FP;m2;MONOPOROSA;8040105;LB;[];Nao
Art. I - SC;8043916;FUNDO COLOR MIND BRUT AC 7x5;FP;m2;MONOPOROSA;8037667;LB;[];Nao
Art. I - SC;8043917;FUNDO COLOR MIND BRUT BR 7x5;FP;m2;MONOPOROSA;8037668;LB;[];Nao
Art. I - SC;8043918;FUNDO COLOR MIND CORTEN AC 7x5;FP;m2;MONOPOROSA;8040108;FP;[];Nao
Art. I - SC;8043919;FUNDO COLOR MIND CORTEN BR 7x5;FP;m2;MONOPOROSA;8037683;FP;[];Nao
Art. I - SC;8043920;FUNDO COLOR MIND COSMIC BR 7x5;FP;m2;MONOPOROSA;8037676;FP;[];Nao
Art. I - SC;8043921;FUNDO COLOR MIND DARK AC 7x5;FP;m2;MONOPOROSA;8037671;FP;[];Nao
Art. I - SC;8043922;FUNDO COLOR MIND DARK BR 7x5;FP;m2;MONOPOROSA;8037672;FP;[];Nao
Art. I - SC;8043923;FUNDO COLOR MIND INOX AC 7x5;FP;m2;MONOPOROSA;8037669;LB;[];Nao
Art. I - SC;8043924;FUNDO COLOR MIND INOX BR 7x5;FP;m2;MONOPOROSA;8037670;LB;[];Nao
Art. I - SC;8043927;FUNDO COLOR MIND MARINE BR 7x5;FP;m2;MONOPOROSA;8037680;FP;[];Nao
Art. I - SC;8043928;FUNDO COLOR MIND MINT AC 7x5;FP;m2;MONOPOROSA;8040106;FP;[];Nao
Art. I - SC;8043929;FUNDO COLOR MIND MINT BR 7x5;FP;m2;MONOPOROSA;8040107;FP;[];Nao
Art. I - SC;8043930;FUNDO COLOR MIND NAVY BR 7x5;FP;m2;MONOPOROSA;8037679;FP;[];Nao
Art. I - SC;8043931;FUNDO COLOR MIND ROSE GOLD AC 7x5;FP;m2;MONOPOROSA;8037673;FP;[];Nao
Art. I - SC;8043932;FUNDO COLOR MIND ROSE GOLD BR 7x5;FP;m2;MONOPOROSA;8037674;FP;[];Nao
Art. I - SC;8043933;FUNDO COLOR MIND TURQUESA BR 7x5;FP;m2;MONOPOROSA;8037678;FP;[];Nao
Art. I - SC;8043934;FUNDO COLOR MIND VANILLA AC 7x5;FP;m2;MONOPOROSA;8037832;LB;[];Nao
Art. I - SC;8043935;FUNDO COLOR MIND VANILLA BR 7x5;FP;m2;MONOPOROSA;8037833;LB;[];Nao
Art. I - SC;8050372;AQUARELA PUNTO AGAVE MT 7X25;FP;pc;MONOPOROSA;8049260;FP;[];Nao
Art. I - SC;8050368;AQUARELA PUNTO ARGILA MT 7X25;FP;pc;MONOPOROSA;8049256;FP;[];Nao
Art. I - SC;8050366;AQUARELA PUNTO FENDI MT 7X25;FP;pc;MONOPOROSA;8049254;FP;[];Nao
Art. I - SC;8050370;AQUARELA PUNTO GRAFITE MT 7X25;FP;pc;MONOPOROSA;8049258;FP;[];Nao
Art. I - SC;8050367;AQUARELA PUNTO GREIGE MT 7X25;FP;pc;MONOPOROSA;8049255;FP;[];Nao
Art. I - SC;8050369;AQUARELA PUNTO GRIS MT 7X25;FP;pc;MONOPOROSA;8049257;FP;[];Nao
Art. I - SC;8050373;AQUARELA PUNTO LAVANDA MT 7X25;FP;pc;MONOPOROSA;8049261;FP;[];Nao
Art. I - SC;8050371;AQUARELA PUNTO MAUVE MT 7X25;FP;pc;MONOPOROSA;8049259;FP;[];Nao
Art. I - SC;8050480;AQUARELA PUNTO MINT MT 7X25;FP;pc;MONOPOROSA;8050482;FP;[];Nao
Art. I - SC;8050365;AQUARELA PUNTO OFF WHITE MT 7X25;FP;pc;MONOPOROSA;8049253;FP;[];Nao
Art. I - SC;8050361;PRISMA FLORA CORAL BR 7X25;FP;pc;MONOPOROSA;8049299;LB;[];Nao
Art. I - SC;8050358;PRISMA FLORA COSMIC BR 7X25;FP;pc;MONOPOROSA;8049295;LB;[];Nao
Art. I - SC;8050364;PRISMA FLORA COTTO BR 7X25;FP;pc;MONOPOROSA;8050159;FP;[];Nao
Art. I - SC;8050356;PRISMA FLORA GREIGE BR 7X25;FP;pc;MONOPOROSA;8049289;LB;[];Nao
Art. I - SC;8050357;PRISMA FLORA GRIS BR 7X25;FP;pc;MONOPOROSA;8049291;LB;[];Nao
Art. I - SC;8050360;PRISMA FLORA HIJAU BR 7X25;FP;pc;MONOPOROSA;8049301;LB;[];Nao
Art. I - SC;8050355;PRISMA FLORA MARFIM BR 7X25;FP;pc;MONOPOROSA;8049287;LB;[];Nao
Art. I - SC;8050362;PRISMA FLORA MATCHA BR 7X25;FP;pc;MONOPOROSA;8050155;LB;[];Nao
Art. I - SC;8050354;PRISMA FLORA OFF WHITE BR 7X25;FP;pc;MONOPOROSA;8049274;LB;[];Nao
Art. I - SC;8050363;PRISMA FLORA ROSE BR 7X25;FP;pc;MONOPOROSA;8050157;FP;[];Nao
Art. I - SC;8050359;PRISMA FLORA VEGGIE BR 7X25;FP;pc;MONOPOROSA;8049297;LB;[];Nao
Art. I - SC;8032329;SARDEGNA L-8000;FP;pc;MONOPOROSA;8032363;FP;[];Nao
Art. I - SC;8032751;PARISIENNE FENDI AC 45x90;FP;cx;MONOPOROSA;8032736;FP;[];Nao
IASA;1504576;SATIM ALABASTER CEA-15;FP;pc;BIQUEIMA;;;[];Nao
IASA;1502662;SATIM WHITE CEA-15;FP;pc;BIQUEIMA;;;[];Nao
IASA;1502492;LISTELLO CANCUM 6X2.1/2 ACQUA;FP;pc;BIQUEIMA;;;[];Nao
IASA;1502506;LISTELLO COUNTRY 6X2.1/2 BLUE;FP;pc;Sem Tipologia;;;[];Nao
IASA;1502514;LISTELLO TZARINA 6X2.1/2 ACQUA;FP;pc;Sem Tipologia;;;[];Nao
IASA;1502522;LISTELLO TZARINA 6X2.1/2 GRAY;FP;pc;Sem Tipologia;;;[];Nao
IASA;1502530;LISTELLO MIRELLA 6X2.1/2 BLUE;FP;pc;Sem Tipologia;;;[];Nao
IASA;1502549;LISTELLO MIRELLA 6X2.1/2 PINK;FP;pc;Sem Tipologia;;;[];Nao
IASA;1502832;ACB.S-4669 ALABASTER 5,1;FP;pc;BIQUEIMA;;;[];Nao
IASA;1502581;ACB.S-4669 WHITE 5,1;FP;pc;BIQUEIMA;;;[];Nao
IASA;1502840;ACB.SN-4669 ALABASTER 5,1;FP;pc;BIQUEIMA;;;[];Nao
IASA;1500619;ACB.SN-4669 WHITE 5,1;FP;pc;BIQUEIMA;;;[];Nao
IASA;1504789;ACB.S-4669 GLOSSY ALABASTER 7,0;FP;pc;BIQUEIMA;;;[];Nao
IASA;1504584;ACB.S-4669 GLOSSY WHITE 7,0;FP;pc;BIQUEIMA;;;[];Nao
IASA;1504770;ACB.S-4669 SATIM ALABASTER 7,0;FP;pc;BIQUEIMA;;;[];Nao
IASA;1504762;ACB.S-4669 SATIM WHITE 7,0;FP;pc;BIQUEIMA;;;[];Nao
IASA;1504657;LISTELLO ANTICATTO ACQUA 15X7,2;FP;pc;MONOQUEIMA;;;[];Nao
IASA;1504649;LISTELLO ANTICATTO GREY 15x7,2;FP;pc;MONOQUEIMA;;;[];Nao
IASA;1504630;LISTELLO DREAM BEIGE 15X7,2;FP;pc;MONOQUEIMA;;;[];Nao
IASA;1504592;LISTELLO DREAM PEARLY 15X7,2;FP;pc;MONOQUEIMA;;;[];Nao
IASA;1504606;LISTELLO ELEGANZA 15X7,2;FP;pc;MONOQUEIMA;;;[];Nao
IASA;1504614;LISTELLO ELEGANZA PEACH 15X7,2;FP;pc;MONOQUEIMA;;;[];Nao
IASA;1504622;LISTELLO GENOA BEIGE 15X7,2;FP;pc;MONOQUEIMA;;;[];Nao
IASA;1504665;LISTELLO MEDAGLIA PEACH 15X7,2;FP;pc;MONOQUEIMA;;;[];Nao
IASA;1504800;ACB. SN-4669 GLOSSY WHITE 7,0;FP;pc;BIQUEIMA;;;[];Nao
IASA;1504819;ACB. SN-4669 SATIM ALABASTER 7,0;FP;pc;BIQUEIMA;;;[];Nao
IASA;1504797;ACB.SN-4669 GLOSSY ALABASTER 7,0;FP;pc;BIQUEIMA;;;[];Nao
IASA;1504827;ACB.SN-4669 SATIM WHITE 7,0;FP;pc;BIQUEIMA;;;[];Nao
BA 2;702692;COIMBRA L1 BEGE;FP;pc;BIQUEIMA;;;[];Nao
BA 2;702706;COIMBRA L2 BEGE;FP;pc;BIQUEIMA;;;[];Nao
BA 2;702889;DUBLIN L1 BEGE;FP;pc;BIQUEIMA;;;[];Nao
BA 2;702870;DUBLIN L1 CINZA;FP;pc;BIQUEIMA;;;[];Nao
BA 2;702587;LISBOA L.1 BEGE;FP;pc;BIQUEIMA;;;[];Nao
BA 2;702595;LISBOA L.2 BEGE;FP;pc;BIQUEIMA;;;[];Nao
BA 2;702617;LONDRES L.1 BEGE;FP;pc;BIQUEIMA;;;[];Nao
BA 2;702609;LONDRES L.1 CINZA;FP;pc;BIQUEIMA;;;[];Nao
BA 2;702633;LONDRES L.2 BEGE;FP;pc;BIQUEIMA;;;[];Nao
BA 2;702641;LONDRES L.2 CINZA;FP;pc;BIQUEIMA;;;[];Nao
BA 2;702862;MALTA L.1 CZ;FP;pc;BIQUEIMA;;;[];Nao
BA 2;702854;MALTA L.1 GL;FP;pc;BIQUEIMA;;;[];Nao
BA 2;702714;MONACO L1 CINZA;FP;pc;BIQUEIMA;;;[];Nao
BA 2;702722;MONACO L2 CINZA;FP;pc;BIQUEIMA;;;[];Nao
BA 2;702625;OSLO L.1 CINZA;FP;pc;BIQUEIMA;;;[];Nao
BA 2;702730;OSLO L2 CINZA;FP;pc;BIQUEIMA;;;[];Nao
BA 2;702544;PARIS L.1 CINZA;FP;pc;BIQUEIMA;;;[];Nao
BA 2;702560;PARIS L.1 GELO;FP;pc;BIQUEIMA;;;[];Nao
BA 2;702552;PARIS L.2 CINZA;FP;pc;BIQUEIMA;;;[];Nao
BA 2;702579;PARIS L.2 GELO;FP;pc;BIQUEIMA;;;[];Nao
BA 2;702650;VIENA L.1 BEGE;FP;pc;BIQUEIMA;;;[];Nao
BA 2;702676;VIENA L.1 CINZA;FP;pc;BIQUEIMA;;;[];Nao
BA 2;702668;VIENA L.2 BEGE;FP;pc;BIQUEIMA;;;[];Nao
BA 2;702684;VIENA L.2 CINZA;FP;pc;BIQUEIMA;;;[];Nao
BA 2;703095;00000000;FP;m2;BIQUEIMA;;;[];Nao
BA 2;703109;00000000;FP;pc;BIQUEIMA;;;[];Nao
BA 2;702951;DANUBIO 1050 BG;FP;pc;BIQUEIMA;;;[];Nao
BA 2;703915;DANUBIO 1050 BG - 5 PC;FP;pc;BIQUEIMA;;;[];Nao
BA 2;702960;DANUBIO 1050 CZ;FP;pc;BIQUEIMA;;;[];Nao
BA 2;703923;DANUBIO 1050 CZ - 5 PC;FP;pc;BIQUEIMA;;;[];Nao
BA 2;702986;DANUBIO 1100 BG;FP;pc;BIQUEIMA;;;[];Nao
BA 2;703931;DANUBIO 1100 BG - 5 PC;FP;pc;BIQUEIMA;;;[];Nao
BA 2;702978;DANUBIO 1100 CZ;FP;pc;BIQUEIMA;;;[];Nao
BA 2;703940;DANUBIO 1100 CZ - 5 PC;FP;pc;BIQUEIMA;;;[];Nao
BA 2;702994;DANUBIO 1150 BR;FP;pc;BIQUEIMA;;;[];Nao
BA 2;703001;DANUBIO 1150 MR;FP;pc;BIQUEIMA;;;[];Nao
BA 2;703010;DANUBIO 1200 BG;FP;pc;BIQUEIMA;;;[];Nao
BA 2;703028;DANUBIO 1200 CZ;FP;pc;BIQUEIMA;;;[];Nao
BA 2;703036;DANUBIO 1250 BG;FP;pc;BIQUEIMA;;;[];Nao
BA 2;703044;DANUBIO 1250 BR;FP;pc;BIQUEIMA;;;[];Nao
BA 2;703060;DANUBIO 1300 BR;FP;pc;BIQUEIMA;;;[];Nao
BA 2;703958;DANUBIO 1300 BR - 5 PC;FP;pc;BIQUEIMA;;;[];Nao
BA 2;703052;DANUBIO 1300 MR;FP;pc;BIQUEIMA;;;[];Nao
BA 2;703966;DANUBIO 1300 MR - 5 PC;FP;pc;BIQUEIMA;;;[];Nao
BA 2;703087;DANUBIO 1350 BG;FP;pc;BIQUEIMA;;;[];Nao
BA 2;703974;DANUBIO 1350 BG - 5 PC;FP;pc;BIQUEIMA;;;[];Nao
BA 2;703079;DANUBIO 1350 BR;FP;pc;BIQUEIMA;;;[];Nao
BA 2;703982;DANUBIO 1350 BR - 5 PC;FP;pc;BIQUEIMA;;;[];Nao
BA 2;703249;DANUBIO 1350 OR;FP;pc;BIQUEIMA;;;[];Nao
BA 2;703990;DANUBIO 1350 OR - 5 PC;FP;pc;BIQUEIMA;;;[];Nao
BA 2;703257;DANUBIO 1350 PR;FP;pc;BIQUEIMA;;;[];Nao
BA 2;704008;DANUBIO 1350 PR - 5 PC;FP;pc;BIQUEIMA;;;[];Nao
BA 2;703150;DANUBIO 1400 BG;FP;pc;BIQUEIMA;;;[];Nao
BA 2;704016;DANUBIO 1400 BG - 5 PC;FP;pc;BIQUEIMA;;;[];Nao
BA 2;703168;DANUBIO 1400 GR;FP;pc;BIQUEIMA;;;[];Nao
BA 2;704024;DANUBIO 1400 GR - 5 PC;FP;pc;BIQUEIMA;;;[];Nao
BA 2;703184;DANUBIO 1450 BG;FP;pc;BIQUEIMA;;;[];Nao
BA 2;704032;DANUBIO 1450 BG - 5 PC;FP;pc;BIQUEIMA;;;[];Nao
BA 2;703176;DANUBIO 1450 MR;FP;pc;BIQUEIMA;;;[];Nao
BA 2;704040;DANUBIO 1450 MR - 5 PC;FP;pc;BIQUEIMA;;;[];Nao
BA 2;703265;DANUBIO 1500 OR;FP;pc;BIQUEIMA;;;[];Nao
BA 2;704059;DANUBIO 1500 OR - 5 PC;FP;pc;BIQUEIMA;;;[];Nao
BA 2;703273;DANUBIO 1500 PR;FP;pc;BIQUEIMA;;;[];Nao
BA 2;704067;DANUBIO 1500 PR - 5 PC;FP;pc;BIQUEIMA;;;[];Nao
BA 2;706078;ILLUSIONE L-1 BEIGE;FP;pc;MONOPOROSA;;;[];Nao
BA 2;706094;ILLUSIONE L-1 CARAMEL;FP;pc;MONOPOROSA;;;[];Nao
BA 2;706086;ILLUSIONE L-1 ICE;FP;pc;MONOPOROSA;;;[];Nao
BA 2;705500;FORMA L-1 ALPE;FP;pc;MONOPOROSA;;;[];Nao
BA 2;705012;FORMA L-1 BEIGE;FP;pc;MONOPOROSA;705705;;[];Nao
BA 2;705519;FORMA L-1 GELO;FP;pc;MONOPOROSA;;;[];Nao
BA 2;705020;FORMA L-1 GRAY;FP;pc;MONOPOROSA;705713;;[];Nao
BA 2;705527;FORMA L-1 MARFIM;FP;pc;MONOPOROSA;;;[];Nao
BA 2;705039;FORMA L-1 WHITE;FP;pc;MONOPOROSA;705691;;[];Nao
BA 2;705535;FORMA L-2 ALPE;FP;pc;MONOPOROSA;;;[];Nao
BA 2;705047;FORMA L-2 BEIGE;FP;pc;MONOPOROSA;705705;;[];Nao
BA 2;705543;FORMA L-2 GELO;FP;pc;MONOPOROSA;;;[];Nao
BA 2;705055;FORMA L-2 GRAY;FP;pc;MONOPOROSA;705713;;[];Nao
BA 2;705551;FORMA L-2 MARFIM;FP;pc;MONOPOROSA;;;[];Nao
BA 2;705063;FORMA L-2 WHITE;FP;pc;MONOPOROSA;705691;;[];Nao
BA 2;705560;FORMA L-3 ALPE;FP;pc;MONOPOROSA;;;[];Nao
BA 2;705071;FORMA L-3 BEIGE;FP;pc;MONOPOROSA;705705;;[];Nao
BA 2;705578;FORMA L-3 GELO;FP;pc;MONOPOROSA;;;[];Nao
BA 2;705080;FORMA L-3 GRAY;FP;pc;MONOPOROSA;705713;;[];Nao
BA 2;705586;FORMA L-3 MARFIM;FP;pc;MONOPOROSA;;;[];Nao
BA 2;705098;FORMA L-3 WHITE;FP;pc;MONOPOROSA;705691;;[];Nao
BA 2;705594;FORMA L-4 ALPE;FP;pc;MONOPOROSA;;;[];Nao
BA 2;705101;FORMA L-4 BEIGE;FP;pc;MONOPOROSA;705705;;[];Nao
BA 2;705608;FORMA L-4 GELO;FP;pc;MONOPOROSA;;;[];Nao
BA 2;705110;FORMA L-4 GRAY;FP;pc;MONOPOROSA;705713;;[];Nao
BA 2;705616;FORMA L-4 MARFIM;FP;pc;MONOPOROSA;;;[];Nao
BA 2;705128;FORMA L-4 WHITE;FP;pc;MONOPOROSA;705691;;[];Nao
BA 2;705152;COTTON L-1 WHITE;FP;pc;MONOPOROSA;;;[];Nao
BA 2;705136;CREMA L-1 BONE;FP;pc;MONOPOROSA;;;[];Nao
BA 2;705160;EBANO L-1 WHITE;FP;pc;MONOPOROSA;;;[];Nao
BA 2;705144;MARMO L-1 BONE;FP;pc;MONOPOROSA;;;[];Nao
BA 2;705241;COTTON L-1 WHITE;FP;pc;MONOPOROSA;;;[];Nao
BA 2;705225;CREMA L-1 BONE;FP;pc;MONOPOROSA;;;[];Nao
BA 2;705250;EBANO L-1 WHITE;FP;pc;MONOPOROSA;;;[];Nao
BA 2;705233;MARMO L-1 BONE;FP;pc;MONOPOROSA;;;[];Nao
Ceramus-CD-ELI;8010416;TOPAZIO TURQUESA GRAY 7X33,5;FP;pc;3a QUEIMA;;;[];Nao
Ceramus-CD-ELI;8010592;TOPAZIO TURQUESA GRAY 7X33,5        P/ME;FP;pc;3a QUEIMA;;;[];Nao
Ceramus-CD-ELI;1605704;CONFORTO L-2;FP;pc;MONOPOROSA;;;[];Nao
Ceramus-CD-ELI;1605739;CONFORTO L-950;FP;pc;3a QUEIMA;;;[];Nao
Ceramus-CD-ELI;1605720;MARMI L-850;FP;pc;3a QUEIMA;;;[];Nao
Ceramus-CD-ELI;1606093;CONFORTO L-1 ALPE;FP;pc;MONOPOROSA;;;[];Nao
Ceramus-CD-ELI;1606107;CONFORTO L-1 MARFIM;FP;pc;MONOPOROSA;;;[];Nao
Ceramus-CD-ELI;1606255;CONFORTO L-300;FP;pc;3a QUEIMA;;;[];Nao
Ceramus-CD-ELI;1606263;CONFORTO L-350;FP;pc;3a QUEIMA;;;[];Nao
Ceramus-CD-ELI;1606115;CONFORTO L-4;FP;pc;MONOPOROSA;;;[];Nao
Ceramus-CD-ELI;1606271;CONFORTO L-400;FP;pc;3a QUEIMA;;;[];Nao
Ceramus-CD-ELI;1606280;ESTILO L-300 GELO;FP;pc;3a QUEIMA;;;[];Nao
Ceramus-CD-ELI;1606298;ESTILO L-300 MARFIM;FP;pc;3a QUEIMA;;;[];Nao
Ceramus-CD-ELI;1606301;ESTILO L-400 GELO;FP;pc;3a QUEIMA;;;[];Nao
Ceramus-CD-ELI;1606310;ESTILO L-400 MARFIM;FP;pc;3a QUEIMA;;;[];Nao
Ceramus-CD-ELI;1606239;ESTILO L-100 GELO;FP;pc;3a QUEIMA;;;[];Nao
Ceramus-CD-ELI;1606247;ESTILO L-100 MARFIM;FP;pc;3a QUEIMA;;;[];Nao
Ceramus-CD-ELI;1606492;CONFORTO L-11;FP;pc;OUTRA;;;[];Nao
Ceramus-CD-ELI;1606506;MARMI L-200 7X32,5;FP;pc;3a QUEIMA;;;[];Nao
Ceramus-CD-ELI;1606549;ESTILO L-600 GELO MA;FP;pc;3a QUEIMA;;;[];Nao
Ceramus-CD-ELI;1606530;MARMI L-750;FP;pc;3a QUEIMA;;;[];Nao
Ceramus-CD-ELI;8020036;CITY PRETO BR 16X58;FP;pc;MONOPOROSA;;;[];Nao
Ceramus-CD-ELI;8010417;DIGITAL BEGE 10,5X45;FP;pc;MONOPOROSA;;;[];Nao
Ceramus-CD-ELI;8010593;DIGITAL BEGE 10,5X45                P/ME;FP;pc;MONOPOROSA;;;[];Nao
Ceramus-CD-ELI;8010421;DIGITAL PRETO 10,5X45;FP;pc;MONOPOROSA;;;[];Nao
Ceramus-CD-ELI;8010590;DIGITAL PRETO 10,5X45               P/ME;FP;pc;MONOPOROSA;;;[];Nao
Ceramus-CD-ELI;8020032;COLORGLASS AFRICA BR 5X57;FP;pc;MONOPOROSA;;;[];Nao
Ceramus-CD-ELI;8020033;COLORGLASS VERMELHO BR 5X57;FP;pc;MONOPOROSA;;;[];Nao
CD BA 1;8025041;NAVONA CARBONO 10,5X33,5;FP;pc;MONOPOROSA;;;[];Nao
CD BA 1;8020939;DIGITAL BEGE 10,5X45;FP;pc;MONOPOROSA;;;[];Nao
CD BA 1;8024586;DIGITAL FENDI 10,5X45;FP;pc;MONOPOROSA;;;[];Nao
CD BA 1;8020941;DIGITAL PRETO 10,5X45;FP;pc;MONOPOROSA;;;[];Nao
CD BA 1;8025042;DIGITAL VERDE 10,5x45;FP;pc;MONOPOROSA;;;[];Nao
CD BA 1;8025036;CITY AGUA BR 16X60;FP;pc;MONOPOROSA;;;[];Nao
CD BA 1;8025040;CITY FENDI 16X60;FP;pc;MONOPOROSA;;;[];Nao
CD BA 1;8025039;CITY PRETO BR 16X60;FP;pc;MONOPOROSA;;;[];Nao
CD BA 1;8025033;EGEO BOREAL 16X60;FP;pc;MONOPOROSA;;;[];Nao
CD BA 1;8025034;EGEO BRANCO BR 16X60;FP;pc;MONOPOROSA;;;[];Nao
CD BA 1;8040730;COLOR MIND INOX BR 7X25;FP;m2;MONOPOROSA;;;[];Nao
CD BA 1;8040729;COLOR MIND LIGHT BR 7X25;FP;m2;MONOPOROSA;;;[];Nao
Ornato;814164;XXXXXXXXXXXXXXXXXXXXXX;FP;pc;3a QUEIMA;;;[];Nao
Ornato;813630;METAL PRATA PIRAMIDE I;FP;pc;3a QUEIMA;;;[];Nao
Ornato;813648;METAL PRATA PIRAMIDE II;FP;pc;3a QUEIMA;;;[];Nao
Ornato;813656;METAL PRATA PIRAMIDE III;FP;pc;3a QUEIMA;;;[];Nao
Ornato;813664;METAL PRATA PIRAMIDE IV;FP;pc;3a QUEIMA;;;[];Nao
Ornato;813680;TERRA BIANCA;FP;m2;MONOQUEIMA;;;[];Nao
Ornato;813699;TERRA CHIARA;FP;m2;MONOQUEIMA;;;[];Nao
Ornato;813702;TERRA FLORA;FP;m2;MONOQUEIMA;;;[];Nao
Ornato;813672;TERRA MARINA;FP;m2;MONOQUEIMA;;;[];Nao
Ornato;813710;TERRA OCRA;FP;m2;MONOQUEIMA;;;[];Nao
Ornato;813729;TERRA ROSSA;FP;m2;MONOQUEIMA;;;[];Nao
SC 1;108367;PONTA SERIE IMPERIAL;FP;m2;BIQUEIMA;;;[];Nao
SC 1;108375;PONTA SERIE VERONA;FP;m2;BIQUEIMA;;;[];Nao
SC 1;108383;PONTA SERIE CONTEMPORANEA;FP;m2;BIQUEIMA;;;[];Nao
SC 1;113514;PONTA SERIE ELITE 15 X 20;FP;m2;BIQUEIMA;;;[];Nao
SC 1;110990;PONTA SERIE TENERIFE/MALLORCA;FP;m2;MONOPOROSA;;;[];Nao
SC 1;125822;PONTA SERIE MAXI 15X15;FP;m2;MONOPOROSA;;;[];Nao
SC 2;205052;PONTA SERIE ROMANTICA;FP;m2;BIQUEIMA;;;[];Nao
SC 2;501387;PONTA SERIE AZULEJO 20X25;FP;m2;MONOPOROSA;;;[];Nao
SC 2;501379;PONTA SERIE REVEST.;FP;m2;BIQUEIMA;;;[];Nao
SC 2;207845;PONTA SERIE 20X30;FP;m2;BIQUEIMA;;;[];Nao
Eliane IV;404918;PONTA SERIE CONTEMPORANEA;FP;m2;BIQUEIMA;;;[];Nao
Eliane IV;403288;PONTA SERIE ROMANTICA;FP;m2;BIQUEIMA;;;[];Nao
