CodigoOriginal;DescOriginal;SituacaoOriginal;UnOriginal;TipologiaOriginal;PrensadoOriginal;Dimensao;Nome Mae;Acabamento Superficie;Unidade Pai;Polo;Item Fundo;PrensadoFundo;SituacaoFundo;UnidadePaiFundo;PoloFundo;ClonesLista;PrensadoRevisado;Validado;UnidadePaiNorm;DimensaoNorm;AcabamentoNorm
8022407;FUNDO KIT NUANCES BR 32,5X57 - 1;FP;cx;MONOPOROSA;Nao;32,5x57;FUNDO KIT NUANCES BR - 1;BRILHANTE;El.Artistica SC;Mohawk (SC);8018480;Nao;FP;Eli II - Compl.;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;32.5X57;BRILHANTE
8022408;FUNDO KIT NUANCES BR 32,5X57 - 2;FP;cx;MONOPOROSA;Nao;32,5x57;FUNDO KIT NUANCES BR - 2;BRILHANTE;El.Artistica SC;Mohawk (SC);8018480;Nao;FP;Eli II - Compl.;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;32.5X57;BRILHANTE
8018289;FUNDO KIT ORQUIDEA BR 32,5X57 1;FP;PC;MONOPOROSA;Nao;32,5x57;FUNDO KIT ORQUIDEA BR 1;BRILHANTE;El.Artistica SC;Mohawk (SC);8018480;Nao;FP;Eli II - Compl.;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;32.5X57;BRILHANTE
8018290;FUNDO KIT ORQUIDEA BR 32,5X57 2;FP;PC;MONOPOROSA;Nao;32,5x57;FUNDO KIT ORQUIDEA BR 2;BRILHANTE;El.Artistica SC;Mohawk (SC);8018480;Nao;FP;Eli II - Compl.;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;32.5X57;BRILHANTE
8018287;FUNDO KIT UVA BR 32,5X57 1;FP;PC;MONOPOROSA;Nao;32,5x57;FUNDO KIT UVA BR 1;BRILHANTE;El.Artistica SC;Mohawk (SC);8018480;Nao;FP;Eli II - Compl.;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;32.5X57;BRILHANTE
8018288;FUNDO KIT UVA BR 32,5X57 2;FP;PC;MONOPOROSA;Nao;32,5x57;FUNDO KIT UVA BR 2;BRILHANTE;El.Artistica SC;Mohawk (SC);8018480;Nao;FP;Eli II - Compl.;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;32.5X57;BRILHANTE
8018295;FUNDO KIT VINHO BR 32,5X57 1;FP;PC;MONOPOROSA;Nao;32,5x57;FUNDO KIT VINHO BR 1;BRILHANTE;El.Artistica SC;Mohawk (SC);8018480;Nao;FP;Eli II - Compl.;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;32.5X57;BRILHANTE
8018296;FUNDO KIT VINHO BR 32,5X57 2;FP;PC;MONOPOROSA;Nao;32,5x57;FUNDO KIT VINHO BR 2;BRILHANTE;El.Artistica SC;Mohawk (SC);8018480;Nao;FP;Eli II - Compl.;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;32.5X57;BRILHANTE
8012905;GARDEN FENDI AC 32,5x57*;FP;cx;MONOPOROSA;Nao;32,5x57;GARDEN FENDI AC;ACETINADO;El.Artistica SC;Mohawk (SC);8007610;Nao;FP;Eli II - Compl.;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;32.5X57;ACETINADO
8022238;KIT ACUCAR BR 32,5X57;FP;cx;MONOPOROSA;Nao;32,5x57;KIT ACUCAR BR;BRILHANTE;El.Artistica SC;Mohawk (SC);8022374;Nao;FP;El.Artistica SC;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;32.5X57;BRILHANTE
8016355;KIT BONJOUR BR 32,5X57*;FP;cx;MONOPOROSA;Nao;32,5x57;KIT BONJOUR BR;BRILHANTE;El.Artistica SC;Mohawk (SC);8015483;Nao;FP;El.Artistica SC;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;32.5X57;BRILHANTE
8019016;KIT BONJOUR NUDE BR 32,5X57;FP;cx;MONOPOROSA;Nao;32,5x57;KIT BONJOUR NUDE BR;BRILHANTE;El.Artistica SC;Mohawk (SC);8019159;Nao;FP;El.Artistica SC;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;32.5X57;BRILHANTE
8018225;KIT CAFE BR 32,5X57;FP;PC;MONOPOROSA;Nao;32,5x57;KIT CAFE BR;BRILHANTE;El.Artistica SC;Mohawk (SC);8018292;Nao;FP;El.Artistica SC;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;32.5X57;BRILHANTE
8020390;KIT CAFE BR 32,5X57;FP;cx;MONOPOROSA;Nao;32,5x57;KIT CAFE BR;BRILHANTE;El.Artistica SC;Mohawk (SC);8018292;Nao;FP;El.Artistica SC;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;32.5X57;BRILHANTE
8012755;KIT GLAMOUR ICE AC 32,5X57;FP;cx;MONOPOROSA;Nao;32,5x57;KIT GLAMOUR ICE AC;BRILHANTE;El.Artistica SC;Mohawk (SC);8016821;Nao;FP;SC 3;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;32.5X57;BRILHANTE
8012484;KIT GLAMOUR ICE BR 32,5X57;FP;cx;MONOPOROSA;Nao;32,5x57;KIT GLAMOUR ICE BR;BRILHANTE;El.Artistica SC;Mohawk (SC);8018480;Nao;FP;Eli II - Compl.;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;32.5X57;BRILHANTE
8018226;KIT LIRIO BR 32,5X57;FP;PC;MONOPOROSA;Nao;32,5x57;KIT LIRIO BR;BRILHANTE;El.Artistica SC;Mohawk (SC);8018294;Nao;FP;El.Artistica SC;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;32.5X57;BRILHANTE
8020391;KIT LIRIO BR 32,5X57;FP;cx;MONOPOROSA;Nao;32,5x57;KIT LIRIO BR;BRILHANTE;El.Artistica SC;Mohawk (SC);8018293;Nao;FP;El.Artistica SC;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;32.5X57;BRILHANTE
8022237;KIT MISS PINK BR 32,5X57;FP;cx;MONOPOROSA;Nao;32,5x57;KIT MISS PINK BR;BRILHANTE;El.Artistica SC;Mohawk (SC);8022371;Nao;FP;El.Artistica SC;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;32.5X57;BRILHANTE
8022192;KIT NUANCES BR 32,5X57;FP;cx;MONOPOROSA;Nao;32,5x57;KIT NUANCES BR;BRILHANTE;El.Artistica SC;Mohawk (SC);8022407;Nao;FP;El.Artistica SC;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;32.5X57;BRILHANTE
8018224;KIT ORQUIDEA BR 32,5X57;FP;PC;MONOPOROSA;Nao;32,5x57;KIT ORQUIDEA BR;BRILHANTE;El.Artistica SC;Mohawk (SC);8018290;Nao;FP;El.Artistica SC;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;32.5X57;BRILHANTE
8020392;KIT ORQUIDEA BR 32,5X57;FP;cx;MONOPOROSA;Nao;32,5x57;KIT ORQUIDEA BR;BRILHANTE;El.Artistica SC;Mohawk (SC);8018290;Nao;FP;El.Artistica SC;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;32.5X57;BRILHANTE
8018223;KIT UVA BR 32,5X57;FP;PC;MONOPOROSA;Nao;32,5x57;KIT UVA BR;BRILHANTE;El.Artistica SC;Mohawk (SC);8018288;Nao;FP;El.Artistica SC;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;32.5X57;BRILHANTE
8020393;KIT UVA BR 32,5X57;FP;cx;MONOPOROSA;Nao;32,5x57;KIT UVA BR;BRILHANTE;El.Artistica SC;Mohawk (SC);8018288;Nao;FP;El.Artistica SC;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;32.5X57;BRILHANTE
8018227;KIT VINHO BR 32,5X57;FP;PC;MONOPOROSA;Nao;32,5x57;KIT VINHO BR;BRILHANTE;El.Artistica SC;Mohawk (SC);8018295;Nao;FP;El.Artistica SC;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;32.5X57;BRILHANTE
8020394;KIT VINHO BR 32,5X57;FP;cx;MONOPOROSA;Nao;32,5x57;KIT VINHO BR;BRILHANTE;El.Artistica SC;Mohawk (SC);8018295;Nao;FP;El.Artistica SC;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;32.5X57;BRILHANTE
8010438;PROVENCAL FENDI AC 32,5X57**;FP;cx;MONOPOROSA;Nao;32,5x57;PROVENCAL FENDI AC;ACETINADO;El.Artistica SC;Mohawk (SC);8018479;Nao;FP;Eli II - Compl.;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;32.5X57;ACETINADO
8012773;SEASON ICE AC 32,5X57*;FP;cx;MONOPOROSA;Nao;32,5x57;SEASON ICE AC;ACETINADO;El.Artistica SC;Mohawk (SC);8018475;Nao;FP;SC 1;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;32.5X57;ACETINADO
8009001;TESTE PRODUTO CX 32,5X57;FP;cx;3a QUEIMA;Nao;32,5x57;TESTE PRODUTO CX;BRILHANTE;El.Artistica SC;Mohawk (SC);265837;Nao;FP;Eli II - Compl.;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;32.5X57;BRILHANTE
8013766;FUNDO TESTE GRANILHA POLIDA 45X90;FP;PC;3a QUEIMA;Nao;44X88;FUNDO TESTE GRANILHA POLIDA;BRILHANTE;El.Artistica SC;Mohawk (SC);8018482;Nao;FP;SC 2;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;44X88;BRILHANTE
8022173;BAUHAUS AC 44X88;FP;pc;MONOPOROSA;Nao;44X88;BAUHAUS AC;ACETINADO;El.Artistica SC;Mohawk (SC);8018483;Nao;FP;Eli II - Compl.;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;44X88;ACETINADO
8022174;BREAK AC 44X88;FP;pc;MONOPOROSA;Nao;44X88;BREAK AC;ACETINADO;El.Artistica SC;Mohawk (SC);8017797;Nao;FP;Eli II - Compl.;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;44X88;ACETINADO
8022108;GALINHA BR 44X88;FP;pc;MONOPOROSA;Nao;44X88;GALINHA BR;BRILHANTE;El.Artistica SC;Mohawk (SC);8018484;Nao;FP;Eli II - Compl.;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;44X88;BRILHANTE
8022170;PALACE AC 44X88;FP;pc;MONOPOROSA;Nao;44X88;PALACE AC;ACETINADO;El.Artistica SC;Mohawk (SC);8017797;Nao;FP;Eli II - Compl.;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;44X88;ACETINADO
8022169;VENICE BR 44X88;FP;pc;MONOPOROSA;Nao;44X88;VENICE BR;BRILHANTE;El.Artistica SC;Mohawk (SC);8018484;Nao;FP;Eli II - Compl.;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;44X88;BRILHANTE
8009177;FUNDO BELIEVE SEPIA A 45X90;FP;pc;3a QUEIMA;Nao;45x90;FUNDO BELIEVE SEPIA A;BRILHANTE;El.Artistica SC;Mohawk (SC);8018482;Nao;FP;SC 2;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;45X90;BRILHANTE
8009910;TOZZETO CITYSCAPE I-300 GRAND NEUTRAL;FP;pc;3a QUEIMA;Nao;12,5X6,5;TOZZETO CITYSCAPE I-300 GRAND NEUTRAL;ACETINADO;El.Artistica SC;Mohawk (SC);;;;;;[];Nao;True;EL.ARTISTICASC;12.5X6.5;ACETINADO
8009909;TOZZETO CITYSCAPE I-300 MIDTOWN TAUPE;FP;pc;3a QUEIMA;Nao;12,5X6,5;TOZZETO CITYSCAPE I-300 MIDTOWN TAUPE;ACETINADO;El.Artistica SC;Mohawk (SC);187283;Nao;FP;SC 1;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;12.5X6.5;ACETINADO
8009911;TOZZETO LUNA I-600 BEIGE MA;FP;pc;3a QUEIMA;Nao;14,5X4,5;TOZZETO LUNA I-600 BEIGE MA;ACETINADO;El.Artistica SC;Mohawk (SC);8006521;Nao;FP;SC 1;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;14.5X4.5;ACETINADO
8009912;TOZZETO LUNA I-600 CREMA MA;FP;pc;3a QUEIMA;Nao;14,5X4,5;TOZZETO LUNA I-600 CREMA MA;ACETINADO;El.Artistica SC;Mohawk (SC);8006519;Nao;FP;SC 1;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;14.5X4.5;ACETINADO
8012223;DOCE LAR 0 AZUL 7,5X15;FP;PC;3a QUEIMA;Nao;7,5X15,5;DOCE LAR 0 AZUL;BRILHANTE;El.Artistica SC;Mohawk (SC);181579;Nao;FP;SC 1;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;7.5X15.5;BRILHANTE
8012233;DOCE LAR 0 VERMELHO 7,5X15;FP;PC;3a QUEIMA;Nao;7,5X15,5;DOCE LAR 0 VERMELHO;BRILHANTE;El.Artistica SC;Mohawk (SC);181579;Nao;FP;SC 1;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;7.5X15.5;BRILHANTE
8012224;DOCE LAR 1 AZUL 7,5X15;FP;PC;3a QUEIMA;Nao;7,5X15,5;DOCE LAR 1 AZUL;BRILHANTE;El.Artistica SC;Mohawk (SC);181579;Nao;FP;SC 1;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;7.5X15.5;BRILHANTE
8012234;DOCE LAR 1 VERMELHO 7,5X15;FP;PC;3a QUEIMA;Nao;7,5X15,5;DOCE LAR 1 VERMELHO;BRILHANTE;El.Artistica SC;Mohawk (SC);181579;Nao;FP;SC 1;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;7.5X15.5;BRILHANTE
8012225;DOCE LAR 2 AZUL 7,5X15;FP;PC;3a QUEIMA;Nao;7,5X15,5;DOCE LAR 2 AZUL;BRILHANTE;El.Artistica SC;Mohawk (SC);181579;Nao;FP;SC 1;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;7.5X15.5;BRILHANTE
8012235;DOCE LAR 2 VERMELHO 7,5X15;FP;PC;3a QUEIMA;Nao;7,5X15,5;DOCE LAR 2 VERMELHO;BRILHANTE;El.Artistica SC;Mohawk (SC);181579;Nao;FP;SC 1;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;7.5X15.5;BRILHANTE
8012226;DOCE LAR 3 AZUL 7,5X15;FP;PC;3a QUEIMA;Nao;7,5X15,5;DOCE LAR 3 AZUL;BRILHANTE;El.Artistica SC;Mohawk (SC);181579;Nao;FP;SC 1;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;7.5X15.5;BRILHANTE
8012236;DOCE LAR 3 VERMELHO 7,5X15;FP;PC;3a QUEIMA;Nao;7,5X15,5;DOCE LAR 3 VERMELHO;BRILHANTE;El.Artistica SC;Mohawk (SC);181579;Nao;FP;SC 1;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;7.5X15.5;BRILHANTE
8012227;DOCE LAR 4 AZUL 7,5X15;FP;PC;3a QUEIMA;Nao;7,5X15,5;DOCE LAR 4 AZUL;BRILHANTE;El.Artistica SC;Mohawk (SC);181579;Nao;FP;SC 1;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;7.5X15.5;BRILHANTE
8012237;DOCE LAR 4 VERMELHO 7,5X15;FP;PC;3a QUEIMA;Nao;7,5X15,5;DOCE LAR 4 VERMELHO;BRILHANTE;El.Artistica SC;Mohawk (SC);181579;Nao;FP;SC 1;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;7.5X15.5;BRILHANTE
8012228;DOCE LAR 5 AZUL 7,5X15;FP;PC;3a QUEIMA;Nao;7,5X15,5;DOCE LAR 5 AZUL;BRILHANTE;El.Artistica SC;Mohawk (SC);181579;Nao;FP;SC 1;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;7.5X15.5;BRILHANTE
8012238;DOCE LAR 5 VERMELHO 7,5X15;FP;PC;3a QUEIMA;Nao;7,5X15,5;DOCE LAR 5 VERMELHO;BRILHANTE;El.Artistica SC;Mohawk (SC);181579;Nao;FP;SC 1;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;7.5X15.5;BRILHANTE
8012229;DOCE LAR 6 AZUL 7,5X15;FP;PC;3a QUEIMA;Nao;7,5X15,5;DOCE LAR 6 AZUL;BRILHANTE;El.Artistica SC;Mohawk (SC);181579;Nao;FP;SC 1;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;7.5X15.5;BRILHANTE
8012239;DOCE LAR 6 VERMELHO 7,5X15;FP;PC;3a QUEIMA;Nao;7,5X15,5;DOCE LAR 6 VERMELHO;BRILHANTE;El.Artistica SC;Mohawk (SC);181579;Nao;FP;SC 1;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;7.5X15.5;BRILHANTE
8012230;DOCE LAR 7 AZUL 7,5X15;FP;PC;3a QUEIMA;Nao;7,5X15,5;DOCE LAR 7 AZUL;BRILHANTE;El.Artistica SC;Mohawk (SC);181579;Nao;FP;SC 1;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;7.5X15.5;BRILHANTE
8012240;DOCE LAR 7 VERMELHO 7,5X15;FP;PC;3a QUEIMA;Nao;7,5X15,5;DOCE LAR 7 VERMELHO;BRILHANTE;El.Artistica SC;Mohawk (SC);181579;Nao;FP;SC 1;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;7.5X15.5;BRILHANTE
8012231;DOCE LAR 8 AZUL 7,5X15;FP;PC;3a QUEIMA;Nao;7,5X15,5;DOCE LAR 8 AZUL;BRILHANTE;El.Artistica SC;Mohawk (SC);181579;Nao;FP;SC 1;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;7.5X15.5;BRILHANTE
8012241;DOCE LAR 8 VERMELHO 7,5X15;FP;PC;3a QUEIMA;Nao;7,5X15,5;DOCE LAR 8 VERMELHO;BRILHANTE;El.Artistica SC;Mohawk (SC);181579;Nao;FP;SC 1;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;7.5X15.5;BRILHANTE
8012232;DOCE LAR 9 AZUL 7,5X15;FP;PC;3a QUEIMA;Nao;7,5X15,5;DOCE LAR 9 AZUL;BRILHANTE;El.Artistica SC;Mohawk (SC);181579;Nao;FP;SC 1;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;7.5X15.5;BRILHANTE
8012242;DOCE LAR 9 VERMELHO 7,5X15;FP;PC;3a QUEIMA;Nao;7,5X15,5;DOCE LAR 9 VERMELHO;BRILHANTE;El.Artistica SC;Mohawk (SC);181579;Nao;FP;SC 1;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;7.5X15.5;BRILHANTE
8013813;COLORGLASS AFRICA BR 10x20;FP;m2;3a QUEIMA;Nao;10x20;COLORGLASS AFRICA BR;BRILHANTE;El.Artistica SC;Mohawk (SC);8014631;Nao;FP;SC 2;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;10X20;BRILHANTE
8013814;COLORGLASS BRANCO BR 10x20;FP;m2;3a QUEIMA;Nao;10x20;COLORGLASS BRANCO BR;BRILHANTE;El.Artistica SC;Mohawk (SC);8017702;Nao;FP;BA 1;Mohawk (BA);[];Nao;True;EL.ARTISTICASC;10X20;BRILHANTE
8013815;COLORGLASS FENDI BR 10x20;FP;m2;3a QUEIMA;Nao;10x20;COLORGLASS FENDI BR;BRILHANTE;El.Artistica SC;Mohawk (SC);8017702;Nao;FP;BA 1;Mohawk (BA);[];Nao;True;EL.ARTISTICASC;10X20;BRILHANTE
8013816;COLORGLASS PRETO BR 10x20;FP;m2;3a QUEIMA;Nao;10x20;COLORGLASS PRETO BR;BRILHANTE;El.Artistica SC;Mohawk (SC);8014631;Nao;FP;SC 2;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;10X20;BRILHANTE
8013817;COLORGLASS PURPURA BR 10x20;FP;m2;3a QUEIMA;Nao;10x20;COLORGLASS PURPURA BR;BRILHANTE;El.Artistica SC;Mohawk (SC);8014631;Nao;FP;SC 2;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;10X20;BRILHANTE
8013818;COLORGLASS ROSA BR 10x20;FP;m2;3a QUEIMA;Nao;10x20;COLORGLASS ROSA BR;BRILHANTE;El.Artistica SC;Mohawk (SC);8014631;Nao;FP;SC 2;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;10X20;BRILHANTE
8013819;COLORGLASS SEPIA BR 10x20;FP;m2;3a QUEIMA;Nao;10x20;COLORGLASS SEPIA BR;BRILHANTE;El.Artistica SC;Mohawk (SC);8017702;Nao;FP;BA 1;Mohawk (BA);[];Nao;True;EL.ARTISTICASC;10X20;BRILHANTE
8013820;COLORGLASS VERDE BR 10x20;FP;m2;3a QUEIMA;Nao;10x20;COLORGLASS VERDE BR;BRILHANTE;El.Artistica SC;Mohawk (SC);8014631;Nao;FP;SC 2;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;10X20;BRILHANTE
8013821;COLORGLASS VERMELHO BR 10x20;FP;m2;3a QUEIMA;Nao;10x20;COLORGLASS VERMELHO BR;BRILHANTE;El.Artistica SC;Mohawk (SC);8017702;Nao;FP;BA 1;Mohawk (BA);[];Nao;True;EL.ARTISTICASC;10X20;BRILHANTE
8022347;AL MARE A BR 20X20;FP;pc;MONOPOROSA;Nao;20x20;AL MARE A BR;BRILHANTE;El.Artistica SC;Mohawk (SC);8006836;Nao;FP;SC 2;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;20X20;BRILHANTE
8022348;AL MARE B BR 20X20;FP;pc;MONOPOROSA;Nao;20x20;AL MARE B BR;BRILHANTE;El.Artistica SC;Mohawk (SC);8006836;Nao;FP;SC 2;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;20X20;BRILHANTE
8026532;FUNDO FLAKE BEIGE AC;FP;pc;MONOPOROSA;Nao;20x20;FUNDO FLAKE BEIGE AC;ACETINADO;El.Artistica SC;Mohawk (SC);8022131;Nao;FP;SC 1;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;20X20;ACETINADO
8026531;FUNDO FLAKE BLUE AC;FP;pc;MONOPOROSA;Nao;20x20;FUNDO FLAKE BLUE AC;ACETINADO;El.Artistica SC;Mohawk (SC);8022131;Nao;FP;SC 1;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;20X20;ACETINADO
8026534;FUNDO FLAKE MARSALA AC;FP;pc;MONOPOROSA;Nao;20x20;FUNDO FLAKE MARSALA AC;ACETINADO;El.Artistica SC;Mohawk (SC);8022131;Nao;FP;SC 1;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;20X20;ACETINADO
8026533;FUNDO LAYER PINK AC;FP;pc;MONOPOROSA;Nao;20x20;FUNDO LAYER PINK AC;ACETINADO;El.Artistica SC;Mohawk (SC);8022131;Nao;FP;SC 1;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;20X20;ACETINADO
8026535;FUNDO LAYER TURQUESA AC;FP;pc;MONOPOROSA;Nao;20x20;FUNDO LAYER TURQUESA AC;ACETINADO;El.Artistica SC;Mohawk (SC);8022131;Nao;FP;SC 1;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;20X20;ACETINADO
8016948;MAT. PROMOCIONAL 28O. GAC 20X20;FP;pc;MONOPOROSA;Nao;20x20;MAT. PROMOCIONAL 28O. GAC;BRILHANTE;El.Artistica SC;Mohawk (SC);192104;Nao;FP;SC 1;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;20X20;BRILHANTE
8018271;FUNDO KIT CEREJA BR 33,5X45 1;FP;PC;MONOPOROSA;Nao;33,5x45;FUNDO KIT CEREJA BR 1;BRILHANTE;El.Artistica SC;Mohawk (SC);;;;;;[];Nao;True;EL.ARTISTICASC;33.5X45;BRILHANTE
8018272;FUNDO KIT CEREJA BR 33,5X45 2;FP;PC;MONOPOROSA;Nao;33,5x45;FUNDO KIT CEREJA BR 2;BRILHANTE;El.Artistica SC;Mohawk (SC);;;;;;[];Nao;True;EL.ARTISTICASC;33.5X45;BRILHANTE
8018273;FUNDO KIT GALINHA BR 33,5X45 1;FP;PC;MONOPOROSA;Nao;33,5x45;FUNDO KIT GALINHA BR 1;BRILHANTE;El.Artistica SC;Mohawk (SC);;;;;;[];Nao;True;EL.ARTISTICASC;33.5X45;BRILHANTE
8018274;FUNDO KIT GALINHA BR 33,5X45 2;FP;PC;MONOPOROSA;Nao;33,5x45;FUNDO KIT GALINHA BR 2;BRILHANTE;El.Artistica SC;Mohawk (SC);;;;;;[];Nao;True;EL.ARTISTICASC;33.5X45;BRILHANTE
8018275;FUNDO KIT LARANJA BR 33,5X45 1;FP;PC;MONOPOROSA;Nao;33,5x45;FUNDO KIT LARANJA BR 1;BRILHANTE;El.Artistica SC;Mohawk (SC);;;;;;[];Nao;True;EL.ARTISTICASC;33.5X45;BRILHANTE
8018276;FUNDO KIT LARANJA BR 33,5X45 2;FP;PC;MONOPOROSA;Nao;33,5x45;FUNDO KIT LARANJA BR 2;BRILHANTE;El.Artistica SC;Mohawk (SC);;;;;;[];Nao;True;EL.ARTISTICASC;33.5X45;BRILHANTE
8018281;FUNDO KIT ORQUIDEA BR 33,5X45 1;FP;PC;MONOPOROSA;Nao;33,5x45;FUNDO KIT ORQUIDEA BR 1;BRILHANTE;El.Artistica SC;Mohawk (SC);;;;;;[];Nao;True;EL.ARTISTICASC;33.5X45;BRILHANTE
8018282;FUNDO KIT ORQUIDEA BR 33,5X45 2;FP;PC;MONOPOROSA;Nao;33,5x45;FUNDO KIT ORQUIDEA BR 2;BRILHANTE;El.Artistica SC;Mohawk (SC);;;;;;[];Nao;True;EL.ARTISTICASC;33.5X45;BRILHANTE
8018279;FUNDO KIT PINGUIM AC 33,5X45 1;FP;PC;MONOPOROSA;Nao;33,5x45;FUNDO KIT PINGUIM AC 1;ACETINADO;El.Artistica SC;Mohawk (SC);8006836;Nao;FP;SC 2;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;33.5X45;ACETINADO
8018280;FUNDO KIT PINGUIM AC 33,5X45 2;FP;PC;MONOPOROSA;Nao;33,5x45;FUNDO KIT PINGUIM AC 2;ACETINADO;El.Artistica SC;Mohawk (SC);8006836;Nao;FP;SC 2;Mohawk (SC);[];Nao;True;EL.ARTISTICASC;33.5X45;ACETINADO
8018277;FUNDO KIT PINGUIM BR 33,5X45 1;FP;PC;MONOPOROSA;Nao;33,5x45;FUNDO KIT PINGUIM BR 1;BRILHANTE;El.Artistica SC;Mohawk (SC);;;;;;[];Nao;True;EL.ARTISTICASC;33.5X45;BRILHANTE
8018278;FUNDO KIT PINGUIM BR 33,5X45 2;FP;PC;MONOPOROSA;Nao;33,5x45;FUNDO KIT PINGUIM BR 2;BRILHANTE;El.Artistica SC;Mohawk (SC);;;;;;[];Nao;True;EL.ARTISTICASC;33.5X45;BRILHANTE
8018283;FUNDO KIT TOMATE BR 33,5X45 1;FP;PC;MONOPOROSA;Nao;33,5x45;FUNDO KIT TOMATE BR 1;BRILHANTE;El.Artistica SC;Mohawk (SC);;;;;;[];Nao;True;EL.ARTISTICASC;33.5X45;BRILHANTE
8018284;FUNDO KIT TOMATE BR 33,5X45 2;FP;PC;MONOPOROSA;Nao;33,5x45;FUNDO KIT TOMATE BR 2;BRILHANTE;El.Artistica SC;Mohawk (SC);;;;;;[];Nao;True;EL.ARTISTICASC;33.5X45;BRILHANTE
8018285;FUNDO KIT TULIPA BR 33,5X45 1;FP;PC;MONOPOROSA;Nao;33,5x45;FUNDO KIT TULIPA BR 1;BRILHANTE;El.Artistica SC;Mohawk (SC);;;;;;[];Nao;True;EL.ARTISTICASC;33.5X45;BRILHANTE
8018286;FUNDO KIT TULIPA BR 33,5X45 2;FP;PC;MONOPOROSA;Nao;33,5x45;FUNDO KIT TULIPA BR 2;BRILHANTE;El.Artistica SC;Mohawk (SC);;;;;;[];Nao;True;EL.ARTISTICASC;33.5X45;BRILHANTE
