CodigoOriginal;DescOriginal;SituacaoOriginal;UnOriginal;TipologiaOriginal;PrensadoOriginal;Dimensao;Nome Mae;Acabamento Superficie;Unidade Pai;Polo;Item Fundo;PrensadoFundo;SituacaoFundo;UnidadePaiFundo;PoloFundo;ClonesLista;PrensadoRevisado;Validado;UnidadePaiNorm;DimensaoNorm;AcabamentoNorm
1460730;SELAFACIL CINZA CX 12UN             P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL CINZA CX 12UN             P/ME;;ARGAMASSAS-EXP;Mohawk (SC);;;;;;[];Nao;True;ARGAMASSAS-EXP;ADITIVO;
1460161;SELAFACIL MARFIM CX 12UN            P/ME;FP;CX;OUTRA;Nao;ADITIVO;SELAFACIL MARFIM CX 12UN            P/ME;;ARGAMASSAS-EXP;Mohawk (SC);;;;;;[];Nao;True;ARGAMASSAS-EXP;ADITIVO;
1461400;SELAFACIL MS INCOLOR CX 12UN        P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL MS INCOLOR CX 12UN        P/ME;;ARGAMASSAS-EXP;Mohawk (SC);;;;;;[];Nao;True;ARGAMASSAS-EXP;ADITIVO;
1460749;SELAFACIL PESSEGO CX 12UN           P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL PESSEGO CX 12UN           P/ME;;ARGAMASSAS-EXP;Mohawk (SC);;;;;;[];Nao;True;ARGAMASSAS-EXP;ADITIVO;
1460757;SELAFACIL PRETO CX 12UN             P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL PRETO CX 12UN             P/ME;;ARGAMASSAS-EXP;Mohawk (SC);;;;;;[];Nao;True;ARGAMASSAS-EXP;ADITIVO;
1460765;SELAFACIL SALMON CX 12UN            P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL SALMON CX 12UN            P/ME;;ARGAMASSAS-EXP;Mohawk (SC);;;;;;[];Nao;True;ARGAMASSAS-EXP;ADITIVO;
1460773;SELAFACIL VERDE CX 12UN             P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL VERDE CX 12UN             P/ME;;ARGAMASSAS-EXP;Mohawk (SC);;;;;;[];Nao;True;ARGAMASSAS-EXP;ADITIVO;
1460790;SELAFACIL BEGE SACHE 600ml-CX 20UN  P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL BEGE SACHE 600ml-CX 20UN  P/ME;;ARGAMASSAS-EXP;Mohawk (SC);;;;;;[];Nao;True;ARGAMASSAS-EXP;ADITIVO;
1461486;SELAFACIL BRANCO SACHE 600ml-CX 20UNP/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL BRANCO SACHE 600ml-CX 20UNP/ME;;ARGAMASSAS-EXP;Mohawk (SC);;;;;;[];Nao;True;ARGAMASSAS-EXP;ADITIVO;
1461494;SELAFACIL CAFE SACHE 600ml-CX 20UN  P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL CAFE SACHE 600ml-CX 20UN  P/ME;;ARGAMASSAS-EXP;Mohawk (SC);;;;;;[];Nao;True;ARGAMASSAS-EXP;ADITIVO;
