Item Fundo;Descricao;Med;Sit;Seq;Seq Alt;Dt ini val;Dt fim val;Item;Desc;Sit;Med;Emb;Desc.Emb;;;;
146579;WHITE UNIV./III;pc;FP;4;0;18/03/2003;30/12/2050;1003216;PAINEL F-12 AZ33X45/018;FP;pc;;;;;;
146579;WHITE UNIV./III;pc;FP;6;0;09/01/2003;30/12/2050;1013750;PAINEL F-12 AZ33X45/003;FP;pc;;;;;;
146579;WHITE UNIV./III;pc;FP;2;0;18/06/1998;30/12/2050;1015079;PAINEL AZ3030/012;FP;pc;;;;;;
146579;WHITE UNIV./III;pc;FP;2;0;18/06/1998;30/12/2050;1015095;PAINEL AZ3030/014;FP;pc;;;;;;
146579;WHITE UNIV./III;pc;FP;2;0;18/06/1998;30/12/2050;1015117;PAINEL AZ3030/016;FP;pc;;;;;;
146579;WHITE UNIV./III;pc;FP;2;0;18/06/1998;30/12/2050;1015176;PAINEL AZ3030/022;FP;pc;;;;;;
146579;WHITE UNIV./III;pc;FP;2;0;18/06/1998;30/12/2050;1015290;PAINEL AZ3030/034;FP;pc;;;;;;
146579;WHITE UNIV./III;pc;FP;46;0;09/07/1998;30/12/2050;1019678;PAINEL ES3330/001;FP;pc;;;;;;
151017;THARRUS WHITE;pc;FP;6;0;09/06/1998;30/12/2050;1009214;PLACA ES2541/002;FP;pc;;;;;;
151017;THARRUS WHITE;pc;FP;4;0;27/07/1998;30/12/2050;1019902;PB2020/003;FP;pc;;;;;;
160466;CLASSIC PEROLA 30;m2;FP;3;0;06/12/2000;30/12/2050;1022504;PAINEL CLASSIC PEROLA/CARAMEL;FP;pc;;;;;;
160466;CLASSIC PEROLA 30;m2;FP;4;0;06/12/2000;30/12/2050;1031465;PAINEL CLASSIC PEROLA/CARAMEL;FP;pc;;;;;;
160466;CLASSIC PEROLA 30;m2;FP;4;0;08/04/2000;30/12/2050;1032976;PL. CLASSIC PEROLA/CARAMEL C/ DECOR E PS;FP;pc;;;;;;
160474;CLASSIC ICE 30;m2;FP;2;0;06/12/2000;30/12/2050;1022253;PAINEL CLASSIC ICE/BLUE;FP;pc;;;;;;
160474;CLASSIC ICE 30;m2;FP;4;0;06/12/2000;30/12/2050;1023616;PAINEL CLASSIC ICE/BLUE;FP;pc;;;;;;
160474;CLASSIC ICE 30;m2;FP;5;0;08/04/2000;30/12/2050;1032950;PL. CLASSIC ICE/BLUE C/ DECOR E PISO;FP;pc;;;;;;
166723;CALIPSO L-2 MARFIM;pc;FP;2;0;03/02/2003;30/12/2050;1012134;PAINEL F-12 AZ25X41/036;FP;pc;;;;;;
166723;CALIPSO L-2 MARFIM;pc;FP;2;0;10/01/2003;30/12/2050;1013947;PAINEL F-12 AZ25X33,5/011;FP;pc;;;;;;
166723;CALIPSO L-2 MARFIM;pc;FP;6;0;30/11/2002;30/12/2050;1035533;PL. SERIE CALIPSO LISTELO;FP;PC;;;;;;
166723;CALIPSO L-2 MARFIM;pc;FP;5;0;12/03/2007;30/12/2050;1041533;PL. ME LIST. CALIPSO/CROMO;LB;PC;;;;;;
166740;CALIPSO L-2 GELO;pc;FP;2;0;10/01/2003;30/12/2050;1014072;PAINEL F-12 AZ25X41/009;FP;pc;;;;;;
166740;CALIPSO L-2 GELO;pc;FP;3;0;25/09/2001;30/12/2050;1034995;X;FP;pc;;;;;;
166740;CALIPSO L-2 GELO;pc;FP;5;0;30/11/2002;30/12/2050;1035533;PL. SERIE CALIPSO LISTELO;FP;PC;;;;;;
166740;CALIPSO L-2 GELO;pc;FP;2;0;12/02/2004;30/12/2050;1038664;PL. SERIE CALIPSO GELO AZ/PS/LIST;FP;PC;;;;;;
166740;CALIPSO L-2 GELO;pc;FP;4;0;12/03/2007;30/12/2050;1041533;PL. ME LIST. CALIPSO/CROMO;LB;PC;;;;;;
169862;CLASSIC B-1 ICE;pc;FP;4;0;04/02/2003;30/12/2050;1004549;PAINEL F-12 AZ20X30/007;FP;pc;;;;;;
169862;CLASSIC B-1 ICE;pc;FP;1;0;12/02/2004;30/12/2050;1038486;PL. ECON. SERIE CLASSIC;FP;PC;;;;;;
169870;CLASSIC B-1 PEROLA;pc;FP;3;0;04/02/2003;30/12/2050;1004417;PAINEL F-12 AZ20X30/003;FP;pc;;;;;;
169900;CLASSIC I-1 ICE;pc;FP;3;0;04/02/2003;30/12/2050;1004549;PAINEL F-12 AZ20X30/007;FP;pc;;;;;;
169935;CLASSIC ICE;m2;FP;85;0;24/04/2006;30/12/2050;160865;"S 4389-CLASSIC ICE-3""X8""-7,0";FP;pc;;;;;;
169935;CLASSIC ICE;m2;FP;85;0;24/04/2006;30/12/2050;162337;"S 4389-CLASSIC ICE-3""X8""-7,0#";FP;pc;5112826;EMB.PAP.OND.20X30 FR3 7,2MM;5201926;EMB.PAP.OND.7,5X20 TRIM MED.366X203X077;;
169935;CLASSIC ICE;m2;FP;20;0;02/03/2007;30/12/2050;169900;CLASSIC I-1 ICE;FP;pc;5112826;EMB.PAP.OND.20X30 FR3 7,2MM;;;;
169935;CLASSIC ICE;m2;FP;20;0;08/03/2004;30/12/2050;175854;"SN 4339-CLASSIC ICE-3""x3""-7.0";FP;pc;5112826;EMB.PAP.OND.20X30 FR3 7,2MM;5220440;EMB.PAP.OND.7,5X7,5 DIM.153X78X78;;
169935;CLASSIC ICE;m2;FP;20;0;01/01/2002;30/12/2050;946478;CLASSIC I-100 ICE;FP;pc;9800961;EMB.PAP.OND.3Q.20X30 FESTONE AN2;;;;
169935;CLASSIC ICE;m2;FP;457;0;27/12/2005;30/12/2050;946508;CLASSIC L-100 ICE;FP;pc;9231703;EMB.PAP.OND.3Q.07X20 LISTELO 25 PC CW1;;;;
169935;CLASSIC ICE;m2;FP;20;0;01/01/2002;30/12/2050;948837;CLASSIC I-200 ICE;FP;pc;9800961;EMB.PAP.OND.3Q.20X30 FESTONE AN2;;;;
169935;CLASSIC ICE;m2;FP;501;0;27/12/2005;30/12/2050;949183;CLASSIC I-300 ICE;FP;pc;9800961;EMB.PAP.OND.3Q.20X30 FESTONE AN2;;;;
169935;CLASSIC ICE;m2;FP;457;0;27/12/2005;30/12/2050;972584;CLASSIC L-200 ICE ST;FP;pc;;;;;;
169935;CLASSIC ICE;m2;FP;457;0;27/12/2005;30/12/2050;972614;CLASSIC L-300 ICE ST;FP;pc;;;;;;
169935;CLASSIC ICE;m2;FP;4;0;04/02/2003;30/12/2050;1004247;PAINEL F-12 AZ20X30/011;FP;pc;;;;;;
169935;CLASSIC ICE;m2;FP;4;0;04/02/2003;30/12/2050;1004255;PAINEL F-12 AZ20X30/010;FP;pc;;;;;;
169935;CLASSIC ICE;m2;FP;3;0;04/02/2003;30/12/2050;1004441;PAINEL F-12 AZ20X30/006;FP;pc;;;;;;
169935;CLASSIC ICE;m2;FP;2;0;04/02/2003;30/12/2050;1004549;PAINEL F-12 AZ20X30/007;FP;pc;;;;;;
169943;CLASSIC PEROLA;m2;FP;85;0;24/04/2006;30/12/2050;160857;"S 4389-CLASSIC PEROLA-3""X8""-7,0";FP;pc;;;;;;
169943;CLASSIC PEROLA;m2;FP;85;0;24/04/2006;30/12/2050;162329;"S 4389-CLASSIC PEROLA-3""X8""-7,0#";FP;pc;5112826;EMB.PAP.OND.20X30 FR3 7,2MM;;;;
169943;CLASSIC PEROLA;m2;FP;10;0;08/03/2004;30/12/2050;175846;"SN 4339-CLASSIC PEROLA-3""x3""-7.0";FP;pc;5112826;EMB.PAP.OND.20X30 FR3 7,2MM;5220440;EMB.PAP.OND.7,5X7,5 DIM.153X78X78;;
169943;CLASSIC PEROLA;m2;FP;20;0;01/01/2002;30/12/2050;946451;CLASSIC I-100 PEROLA;FP;pc;9800961;EMB.PAP.OND.3Q.20X30 FESTONE AN2;;;;
169943;CLASSIC PEROLA;m2;FP;457;0;27/12/2005;30/12/2050;946486;CLASSIC L-100 PEROLA;FP;pc;9231703;EMB.PAP.OND.3Q.07X20 LISTELO 25 PC CW1;;;;
169943;CLASSIC PEROLA;m2;FP;116;0;27/12/2005;30/12/2050;947270;GASODUTO BOLIVIA - BRASIL;FP;pc;;;;;;
169943;CLASSIC PEROLA;m2;FP;20;0;01/01/2000;30/12/2050;948829;CLASSIC I-200 PEROLA;FP;pc;9800961;EMB.PAP.OND.3Q.20X30 FESTONE AN2;;;;
169943;CLASSIC PEROLA;m2;FP;20;0;28/01/2000;30/12/2050;949205;CLASSIC I-300 PEROLA;FP;pc;9800961;EMB.PAP.OND.3Q.20X30 FESTONE AN2;;;;
169943;CLASSIC PEROLA;m2;FP;457;0;27/12/2005;30/12/2050;972592;CLASSIC L-200 PEROLA ST;FP;pc;;;;;;
169943;CLASSIC PEROLA;m2;FP;457;0;27/12/2005;30/12/2050;972622;CLASSIC L-300 PEROLA ST;FP;pc;;;;;;
169943;CLASSIC PEROLA;m2;FP;8;0;04/02/2003;30/12/2050;1004190;PAINEL F-12 AZ20X30/012;FP;pc;;;;;;
169943;CLASSIC PEROLA;m2;FP;2;0;04/02/2003;30/12/2050;1004417;PAINEL F-12 AZ20X30/003;FP;pc;;;;;;
169943;CLASSIC PEROLA;m2;FP;5;0;04/02/2003;30/12/2050;1004425;PAINEL F-12 AZ20X30/004;FP;pc;;;;;;
169943;CLASSIC PEROLA;m2;FP;4;0;04/02/2003;30/12/2050;1004433;PAINEL F-12 AZ20X30/005;FP;pc;;;;;;
169943;CLASSIC PEROLA;m2;FP;2;0;12/02/2004;30/12/2050;1038486;PL. ECON. SERIE CLASSIC;FP;PC;;;;;;
170801;VILLA VECCHIA BIANCO 25X33,5;m2;FP;1;0;01/01/2002;30/12/2050;178357;"SN 4339-VILLA VECCHIA BIANCO-3""X3""-7.0";FP;pc;5097517;EMB.PAP.OND.25X33 MED.AUT.337X252X146;5220440;EMB.PAP.OND.7,5X7,5 DIM.153X78X78;;
170801;VILLA VECCHIA BIANCO 25X33,5;m2;FP;1;0;01/01/2002;30/12/2050;179248;"SN 4339-VILLA VECCHIA BIANCO-3""X3""-8,3";FP;pc;5097517;EMB.PAP.OND.25X33 MED.AUT.337X252X146;;;;
170801;VILLA VECCHIA BIANCO 25X33,5;m2;FP;3;0;15/05/2003;30/12/2050;1038290;PL. SERIE VILLA VECCHIA BIANCO/GRIGIO AZ;FP;PC;;;;;;
170810;VILLA VECCHIA BEIGE 25X33,5;m2;FP;1;0;01/01/2002;30/12/2050;178373;"SN 4339-VILLA VECCHIA BEIGE-3""X3""-7.0";FP;pc;5097517;EMB.PAP.OND.25X33 MED.AUT.337X252X146;5220440;EMB.PAP.OND.7,5X7,5 DIM.153X78X78;;
170810;VILLA VECCHIA BEIGE 25X33,5;m2;FP;1;0;01/01/2002;30/12/2050;179264;"SN 4339-VILLA VECCHIA BEIGE-3""X3""-8,3";FP;pc;5097517;EMB.PAP.OND.25X33 MED.AUT.337X252X146;;;;
